MailId,SucursalId,UserId,To,Subject,MailStateId,RetryCount,CreatedAt,SentAt
1,358,124,user124@sucursales.local,Notificación operativa,2,0,2026-01-26,2026-01-26
2,7,126,user126@sucursales.local,Eliminación de sucursal,2,0,2025-03-23,2025-03-23
3,13,108,user108@sucursales.local,Verificación de email,2,0,2024-08-16,2024-08-16
4,334,134,user134@sucursales.local,Creación de sucursal,2,0,2025-12-08,2025-12-08
5,175,75,user75@sucursales.local,Creación de sucursal,2,0,2024-11-08,2024-11-08
6,164,133,user133@sucursales.local,Notificación operativa,2,0,2026-05-28,2026-05-28
7,535,113,user113@sucursales.local,Eliminación de sucursal,2,0,2025-01-09,2025-01-09
8,768,116,user116@sucursales.local,Creación de sucursal,3,2,2024-07-12,
9,646,93,user93@sucursales.local,Notificación operativa,2,0,2026-06-16,2026-06-16
10,537,16,user16@sucursales.local,Verificación de email,2,0,2024-08-10,2024-08-10
11,693,35,user35@sucursales.local,Notificación operativa,2,0,2025-07-05,2025-07-05
12,724,22,user22@sucursales.local,Notificación operativa,2,0,2026-02-12,2026-02-12
13,66,22,user22@sucursales.local,Verificación de email,2,0,2025-01-17,2025-01-17
14,461,7,user7@sucursales.local,Eliminación de sucursal,2,0,2026-05-20,2026-05-20
15,293,114,user114@sucursales.local,Notificación operativa,2,0,2024-11-03,2024-11-03
16,715,140,user140@sucursales.local,Notificación operativa,2,0,2024-12-11,2024-12-11
17,243,113,user113@sucursales.local,Notificación operativa,2,0,2026-01-23,2026-01-23
18,707,86,user86@sucursales.local,Eliminación de sucursal,1,0,2025-06-21,
19,598,141,user141@sucursales.local,Creación de sucursal,2,0,2025-06-02,2025-06-02
20,671,58,user58@sucursales.local,Notificación operativa,2,0,2024-06-29,2024-06-29
21,705,94,user94@sucursales.local,Eliminación de sucursal,2,0,2026-04-27,2026-04-27
22,778,100,user100@sucursales.local,Verificación de email,2,0,2025-10-22,2025-10-22
23,163,84,user84@sucursales.local,Notificación operativa,2,0,2024-10-22,2024-10-22
24,555,53,user53@sucursales.local,Verificación de email,2,0,2024-06-22,2024-06-22
25,693,69,user69@sucursales.local,Eliminación de sucursal,2,0,2025-02-21,2025-02-21
26,396,32,user32@sucursales.local,Eliminación de sucursal,2,0,2025-08-02,2025-08-02
27,573,97,user97@sucursales.local,Creación de sucursal,2,0,2024-02-28,2024-02-28
28,607,52,user52@sucursales.local,Verificación de email,2,0,2026-01-16,2026-01-16
29,394,136,user136@sucursales.local,Eliminación de sucursal,1,0,2024-03-17,
30,632,37,user37@sucursales.local,Creación de sucursal,2,0,2025-06-15,2025-06-15
31,529,97,user97@sucursales.local,Creación de sucursal,4,2,2024-05-29,
32,520,96,user96@sucursales.local,Notificación operativa,2,0,2025-12-11,2025-12-11
33,59,63,user63@sucursales.local,Notificación operativa,2,0,2026-03-28,2026-03-28
34,369,97,user97@sucursales.local,Verificación de email,2,0,2024-07-14,2024-07-14
35,181,81,user81@sucursales.local,Creación de sucursal,2,0,2025-10-28,2025-10-28
36,308,19,user19@sucursales.local,Eliminación de sucursal,2,0,2025-08-18,2025-08-18
37,542,140,user140@sucursales.local,Creación de sucursal,2,0,2024-11-22,2024-11-22
38,778,133,user133@sucursales.local,Notificación operativa,3,1,2025-07-15,
39,4,118,user118@sucursales.local,Creación de sucursal,2,0,2025-06-21,2025-06-21
40,210,103,user103@sucursales.local,Creación de sucursal,2,0,2025-09-02,2025-09-02
41,524,8,user8@sucursales.local,Verificación de email,4,3,2026-03-09,
42,268,70,user70@sucursales.local,Eliminación de sucursal,2,0,2025-11-09,2025-11-09
43,799,29,user29@sucursales.local,Eliminación de sucursal,2,0,2026-05-02,2026-05-02
44,732,127,user127@sucursales.local,Notificación operativa,3,2,2025-03-17,
45,230,19,user19@sucursales.local,Creación de sucursal,3,3,2024-08-05,
46,312,60,user60@sucursales.local,Verificación de email,2,0,2025-05-31,2025-05-31
47,606,121,user121@sucursales.local,Notificación operativa,1,0,2024-09-03,
48,385,132,user132@sucursales.local,Verificación de email,4,1,2024-12-03,
49,570,9,user9@sucursales.local,Creación de sucursal,2,0,2024-04-30,2024-04-30
50,484,72,user72@sucursales.local,Notificación operativa,2,0,2025-06-22,2025-06-22
51,710,59,user59@sucursales.local,Creación de sucursal,2,0,2025-09-04,2025-09-04
52,366,113,user113@sucursales.local,Verificación de email,4,2,2024-06-12,
53,135,55,user55@sucursales.local,Creación de sucursal,2,0,2024-01-08,2024-01-08
54,117,115,user115@sucursales.local,Creación de sucursal,2,0,2024-03-14,2024-03-14
55,144,127,user127@sucursales.local,Verificación de email,2,0,2024-06-30,2024-06-30
56,82,137,user137@sucursales.local,Verificación de email,2,0,2025-07-11,2025-07-11
57,425,56,user56@sucursales.local,Creación de sucursal,2,0,2026-04-11,2026-04-11
58,353,34,user34@sucursales.local,Notificación operativa,2,0,2024-09-24,2024-09-24
59,567,146,user146@sucursales.local,Creación de sucursal,2,0,2026-06-16,2026-06-16
60,100,11,user11@sucursales.local,Creación de sucursal,2,0,2025-08-11,2025-08-11
61,617,47,user47@sucursales.local,Verificación de email,2,0,2026-04-25,2026-04-25
62,653,44,user44@sucursales.local,Eliminación de sucursal,2,0,2024-08-18,2024-08-18
63,77,56,user56@sucursales.local,Notificación operativa,2,0,2025-07-10,2025-07-10
64,580,144,user144@sucursales.local,Creación de sucursal,1,0,2024-06-29,
65,6,20,user20@sucursales.local,Verificación de email,2,0,2026-05-02,2026-05-02
66,722,61,user61@sucursales.local,Notificación operativa,2,0,2025-09-22,2025-09-22
67,503,41,user41@sucursales.local,Creación de sucursal,2,0,2025-04-21,2025-04-21
68,50,147,user147@sucursales.local,Creación de sucursal,2,0,2026-01-30,2026-01-30
69,210,90,user90@sucursales.local,Eliminación de sucursal,2,0,2026-01-23,2026-01-23
70,115,103,user103@sucursales.local,Eliminación de sucursal,2,0,2024-07-30,2024-07-30
71,70,10,user10@sucursales.local,Verificación de email,2,0,2024-05-15,2024-05-15
72,387,31,user31@sucursales.local,Notificación operativa,2,0,2026-05-03,2026-05-03
73,372,20,user20@sucursales.local,Verificación de email,3,1,2024-02-06,
74,129,8,user8@sucursales.local,Notificación operativa,2,0,2024-07-30,2024-07-30
75,601,39,user39@sucursales.local,Verificación de email,2,0,2024-07-26,2024-07-26
76,654,52,user52@sucursales.local,Verificación de email,2,0,2025-05-04,2025-05-04
77,425,87,user87@sucursales.local,Eliminación de sucursal,2,0,2025-10-08,2025-10-08
78,394,58,user58@sucursales.local,Verificación de email,1,0,2025-07-30,
79,227,26,user26@sucursales.local,Verificación de email,2,0,2025-05-07,2025-05-07
80,12,8,user8@sucursales.local,Verificación de email,1,0,2025-05-31,
81,699,97,user97@sucursales.local,Notificación operativa,2,0,2024-04-14,2024-04-14
82,318,111,user111@sucursales.local,Eliminación de sucursal,2,0,2024-02-14,2024-02-14
83,372,2,user2@sucursales.local,Creación de sucursal,2,0,2024-05-04,2024-05-04
84,649,95,user95@sucursales.local,Verificación de email,2,0,2025-08-14,2025-08-14
85,736,75,user75@sucursales.local,Notificación operativa,2,0,2026-01-03,2026-01-03
86,166,16,user16@sucursales.local,Creación de sucursal,2,0,2026-01-30,2026-01-30
87,613,6,user6@sucursales.local,Eliminación de sucursal,2,0,2024-04-18,2024-04-18
88,385,90,user90@sucursales.local,Creación de sucursal,1,0,2024-06-22,
89,619,2,user2@sucursales.local,Notificación operativa,2,0,2025-09-06,2025-09-06
