UserId,Name,Lastname,Email,CreatedAt,IsDeleted
1,Usuario 1,Apellido 1,user1@sucursales.local,2024-10-14,0
2,Usuario 2,Apellido 2,user2@sucursales.local,2024-11-28,0
3,Usuario 3,Apellido 3,user3@sucursales.local,2024-08-02,0
4,Usuario 4,Apellido 4,user4@sucursales.local,2024-10-28,0
5,Usuario 5,Apellido 5,user5@sucursales.local,2025-03-21,1
6,Usuario 6,Apellido 6,user6@sucursales.local,2025-02-16,0
7,Usuario 7,Apellido 7,user7@sucursales.local,2024-08-04,0
8,Usuario 8,Apellido 8,user8@sucursales.local,2024-03-20,0
9,Usuario 9,Apellido 9,user9@sucursales.local,2025-01-25,0
10,Usuario 10,Apellido 10,user10@sucursales.local,2024-02-17,0
11,Usuario 11,Apellido 11,user11@sucursales.local,2024-07-02,0
12,Usuario 12,Apellido 12,user12@sucursales.local,2024-11-05,0
13,Usuario 13,Apellido 13,user13@sucursales.local,2024-01-23,0
14,Usuario 14,Apellido 14,user14@sucursales.local,2024-10-01,0
15,Usuario 15,Apellido 15,user15@sucursales.local,2024-07-12,0
16,Usuario 16,Apellido 16,user16@sucursales.local,2024-05-30,0
17,Usuario 17,Apellido 17,user17@sucursales.local,2024-11-12,0
18,Usuario 18,Apellido 18,user18@sucursales.local,2024-07-04,0
19,Usuario 19,Apellido 19,user19@sucursales.local,2024-12-26,0
20,Usuario 20,Apellido 20,user20@sucursales.local,2024-12-04,0
21,Usuario 21,Apellido 21,user21@sucursales.local,2024-05-28,0
22,Usuario 22,Apellido 22,user22@sucursales.local,2025-03-13,0
23,Usuario 23,Apellido 23,user23@sucursales.local,2024-02-21,0
24,Usuario 24,Apellido 24,user24@sucursales.local,2024-08-20,0
25,Usuario 25,Apellido 25,user25@sucursales.local,2024-07-05,0
26,Usuario 26,Apellido 26,user26@sucursales.local,2024-06-30,0
27,Usuario 27,Apellido 27,user27@sucursales.local,2024-05-16,0
28,Usuario 28,Apellido 28,user28@sucursales.local,2024-12-15,0
29,Usuario 29,Apellido 29,user29@sucursales.local,2024-11-07,0
30,Usuario 30,Apellido 30,user30@sucursales.local,2024-09-30,0
31,Usuario 31,Apellido 31,user31@sucursales.local,2024-03-24,0
32,Usuario 32,Apellido 32,user32@sucursales.local,2024-05-18,0
33,Usuario 33,Apellido 33,user33@sucursales.local,2024-11-23,0
34,Usuario 34,Apellido 34,user34@sucursales.local,2024-04-22,0
35,Usuario 35,Apellido 35,user35@sucursales.local,2025-03-07,0
36,Usuario 36,Apellido 36,user36@sucursales.local,2024-01-29,0
37,Usuario 37,Apellido 37,user37@sucursales.local,2024-01-17,0
38,Usuario 38,Apellido 38,user38@sucursales.local,2024-07-24,0
39,Usuario 39,Apellido 39,user39@sucursales.local,2024-04-18,0
40,Usuario 40,Apellido 40,user40@sucursales.local,2024-10-17,0
41,Usuario 41,Apellido 41,user41@sucursales.local,2024-06-10,0
42,Usuario 42,Apellido 42,user42@sucursales.local,2024-09-12,0
43,Usuario 43,Apellido 43,user43@sucursales.local,2024-11-25,0
44,Usuario 44,Apellido 44,user44@sucursales.local,2024-05-15,0
45,Usuario 45,Apellido 45,user45@sucursales.local,2025-01-16,0
46,Usuario 46,Apellido 46,user46@sucursales.local,2024-05-14,0
47,Usuario 47,Apellido 47,user47@sucursales.local,2024-08-07,0
48,Usuario 48,Apellido 48,user48@sucursales.local,2024-07-23,0
49,Usuario 49,Apellido 49,user49@sucursales.local,2024-03-11,0
50,Usuario 50,Apellido 50,user50@sucursales.local,2024-02-16,0
51,Usuario 51,Apellido 51,user51@sucursales.local,2025-03-16,0
52,Usuario 52,Apellido 52,user52@sucursales.local,2024-11-17,0
53,Usuario 53,Apellido 53,user53@sucursales.local,2024-12-14,0
54,Usuario 54,Apellido 54,user54@sucursales.local,2024-02-02,0
55,Usuario 55,Apellido 55,user55@sucursales.local,2024-11-01,0
56,Usuario 56,Apellido 56,user56@sucursales.local,2024-09-27,0
57,Usuario 57,Apellido 57,user57@sucursales.local,2024-10-10,0
58,Usuario 58,Apellido 58,user58@sucursales.local,2024-01-06,0
59,Usuario 59,Apellido 59,user59@sucursales.local,2024-02-28,0
60,Usuario 60,Apellido 60,user60@sucursales.local,2024-10-01,0
61,Usuario 61,Apellido 61,user61@sucursales.local,2025-01-28,0
62,Usuario 62,Apellido 62,user62@sucursales.local,2024-02-27,0
63,Usuario 63,Apellido 63,user63@sucursales.local,2024-03-21,0
64,Usuario 64,Apellido 64,user64@sucursales.local,2025-01-04,0
65,Usuario 65,Apellido 65,user65@sucursales.local,2024-05-14,0
66,Usuario 66,Apellido 66,user66@sucursales.local,2025-01-25,0
67,Usuario 67,Apellido 67,user67@sucursales.local,2024-02-24,0
68,Usuario 68,Apellido 68,user68@sucursales.local,2024-06-01,0
69,Usuario 69,Apellido 69,user69@sucursales.local,2024-09-16,0
70,Usuario 70,Apellido 70,user70@sucursales.local,2024-03-19,0
71,Usuario 71,Apellido 71,user71@sucursales.local,2024-03-23,0
72,Usuario 72,Apellido 72,user72@sucursales.local,2025-02-02,0
73,Usuario 73,Apellido 73,user73@sucursales.local,2024-01-01,0
74,Usuario 74,Apellido 74,user74@sucursales.local,2024-09-07,1
75,Usuario 75,Apellido 75,user75@sucursales.local,2024-07-04,0
76,Usuario 76,Apellido 76,user76@sucursales.local,2025-03-01,0
77,Usuario 77,Apellido 77,user77@sucursales.local,2024-05-02,0
78,Usuario 78,Apellido 78,user78@sucursales.local,2025-03-25,0
79,Usuario 79,Apellido 79,user79@sucursales.local,2024-02-10,0
80,Usuario 80,Apellido 80,user80@sucursales.local,2024-09-05,0
81,Usuario 81,Apellido 81,user81@sucursales.local,2025-01-24,0
82,Usuario 82,Apellido 82,user82@sucursales.local,2024-03-05,0
83,Usuario 83,Apellido 83,user83@sucursales.local,2024-08-31,0
84,Usuario 84,Apellido 84,user84@sucursales.local,2024-03-25,0
85,Usuario 85,Apellido 85,user85@sucursales.local,2025-03-22,0
86,Usuario 86,Apellido 86,user86@sucursales.local,2024-04-18,0
87,Usuario 87,Apellido 87,user87@sucursales.local,2025-01-21,0
88,Usuario 88,Apellido 88,user88@sucursales.local,2024-04-12,0
89,Usuario 89,Apellido 89,user89@sucursales.local,2024-07-23,0
90,Usuario 90,Apellido 90,user90@sucursales.local,2024-11-28,0
91,Usuario 91,Apellido 91,user91@sucursales.local,2024-09-21,0
92,Usuario 92,Apellido 92,user92@sucursales.local,2024-05-06,0
93,Usuario 93,Apellido 93,user93@sucursales.local,2024-06-22,1
94,Usuario 94,Apellido 94,user94@sucursales.local,2024-10-10,0
95,Usuario 95,Apellido 95,user95@sucursales.local,2024-04-22,1
96,Usuario 96,Apellido 96,user96@sucursales.local,2024-12-28,0
97,Usuario 97,Apellido 97,user97@sucursales.local,2024-04-27,0
98,Usuario 98,Apellido 98,user98@sucursales.local,2024-01-17,0
99,Usuario 99,Apellido 99,user99@sucursales.local,2024-02-06,0
100,Usuario 100,Apellido 100,user100@sucursales.local,2024-05-22,0
101,Usuario 101,Apellido 101,user101@sucursales.local,2024-04-19,0
102,Usuario 102,Apellido 102,user102@sucursales.local,2025-01-05,0
103,Usuario 103,Apellido 103,user103@sucursales.local,2024-10-19,0
